RaceName_name,City,State,RaceName_Date,,,,,,,,
Celebration Run San Diego,San Diego, CA,2017-11-05,,,,,,,,
Chase the Waves,Long Beach, CA,2017-11-05,,,,,,,,
Golden Gate Half Marathon,San Francisco, CA,2017-11-05,,,,,,,,
Malibu Half Marathon,Malibu, CA,2017-11-05,,,,,,,,
Malibu Half Marathon,Malibu, CA,2017-11-05,,,,,,,,
Peace Love Run - Los Angeles,Los Angeles, CA,2017-11-05,,,,,,,,
Santa Clarita Marathon,Santa Clarita, CA,2017-11-05,,,,,,,,
Two Cities Marathon,Fresno, CA,2017-11-05,,,,,,,,
Southwest Series Day 6 - CA,Needles, CA,2017-11-10,,,,,,,,
Mt Tam Trail Run,Stinson Beach, CA,2017-11-11,,,,,,,,
Sanborn Park Trail Challenge,Saratoga, CA,2017-11-11,,,,,,,,
Santa Barbara Veterans Day Half Marathon,Santa Barbara, CA,2017-11-11,,,,,,,,
Veterans Day,Long Beach, CA,2017-11-11,,,,,,,,
Bakersfield Marathon,Bakersfield, CA,2017-11-12,,,,,,,,
Big Sur Half Marathon on Monterey Bay,Monterey, CA,2017-11-12,,,,,,,,
Blaze the Coastline,Long Beach, CA,2017-11-12,,,,,,,,
Clarksburg Country Run,Clarksburg, CA,2017-11-12,,,,,,,,
"Honor, Courage, Commitment Half Marathon",Huntington Beach, CA,2017-11-12,,,,,,,,
Mission Inn Run,Riverside, CA,2017-11-12,,,,,,,,
Napa Valley Harvest Half Marathon,Calistoga, CA,2017-11-12,,,,,,,,
Silver Strand Half Marathon,Coronado, CA,2017-11-12,,,,,,,,
Super Heroes Half Marathon,Anaheim, CA,2017-11-12,,,,,,,,
Surfers Point Marathon,Ventura, CA,2017-11-12,,,,,,,,
Temecula Half Marathon,Temecula, CA,2017-11-12,,,,,,,,
Catalina Island Eco Marathon,Avalon, CA,2017-11-18,,,,,,,,
Davis Turkey Trot,Davis, CA,2017-11-18,,,,,,,,
Holiday Hustle,Morgan Hill, CA,2017-11-18,,,,,,,,
Lexus LaceUp Running Series - Palos Verdes,Rancho Palos Verdes, CA,2017-11-18,,,,,,,,
Mendocino Coast PAL Big River Run,Mendocino, CA,2017-11-18,,,,,,,,
Rockin' the Shore,Long Beach, CA,2017-11-18,,,,,,,,
Trail Run at Sly Park,Pollock Pines, CA,2017-11-18,,,,,,,,
Trot for the Turkeys,Fremont, CA,2017-11-18,,,,,,,,
Berkeley Half Marathon,Berkeley, CA,2017-11-19,,,,,,,,
Blitz the Marina,Long Beach, CA,2017-11-19,,,,,,,,
Manda Run,Auburn, CA,2017-11-19,,,,,,,,
"North Face Endurance Challenge - San Francisco, CA",San Francisco, CA,2017-11-19,,,,,,,,
Marina Turkey Trot,Long Beach, CA,2017-11-23,,,,,,,,
Turkey Trot Half Marathon,Santa Monica, CA,2017-11-23,,,,,,,,
Zoom Turkey Trot,San Jose, CA,2017-11-23,,,,,,,,
Feelin' Stuffed,Long Beach, CA,2017-11-24,,,,,,,,
Turkey Trot Half Marathon,Huntington Beach, CA,2017-11-24,,,,,,,,
